
CAT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1949-1-1,35,31,27,30,26,22,96,84,64,29.95,29.78,29.58,15,7,1,25,10,,0.00,0,Snow,130
1949-1-2,37,34,30,35,30,26,100,87,70,30.02,29.88,29.63,15,5,0,34,13,,0.00,0,Rain-Snow,128
1949-1-3,46,42,39,46,41,37,100,94,80,29.73,29.55,29.48,10,5,2,39,23,,0.00,0,Fog-Rain,179
1949-1-4,44,40,37,41,36,34,96,88,79,29.87,29.67,29.40,8,6,3,29,14,,0.00,0,Fog-Rain,156
1949-1-5,43,36,28,41,28,19,100,78,59,29.83,29.69,29.43,15,7,1,21,15,,0.00,0,Rain-Snow,278
1949-1-6,30,27,24,29,24,19,100,88,78,29.90,29.80,29.73,15,5,1,20,6,,0.00,0,Snow,341
1949-1-7,27,22,17,23,16,10,92,79,66,30.51,30.26,29.92,15,13,3,12,4,,0.00,0,Snow,81
1949-1-8,30,24,19,29,24,16,100,87,78,30.56,30.54,30.52,15,13,8,8,3,,0.00,0,Snow,114
1949-1-9,39,36,32,38,32,25,100,86,62,30.52,30.47,30.42,15,6,2,17,9,,0.00,0,Fog-Rain-Snow,148
1949-1-10,43,41,39,43,40,38,100,99,96,30.52,30.49,30.46,6,3,2,9,3,,0.00,0,Fog-Rain,127
1949-1-11,42,40,37,41,39,35,100,96,86,30.51,30.35,30.07,6,4,2,12,5,,0.00,0,Fog-Rain,166
1949-1-12,42,40,37,40,37,35,100,92,82,30.05,29.94,29.74,15,7,2,16,8,,0.00,0,Fog-Rain,135
1949-1-13,39,36,33,38,35,32,100,95,86,29.87,29.77,29.66,6,4,1,12,5,,0.00,0,Fog-Rain-Snow,176
1949-1-14,36,34,33,35,34,32,100,98,89,30.24,29.99,29.76,10,6,2,12,5,,0.00,0,Rain-Snow,110
1949-1-15,39,36,32,40,34,32,100,92,82,30.26,29.96,29.63,10,5,1,30,13,,0.00,0,Fog-Rain-Snow,127
1949-1-16,35,34,32,34,32,30,100,93,85,30.13,29.88,29.69,10,6,1,12,5,,0.00,0,Snow,310
1949-1-17,37,34,30,33,31,28,100,90,73,30.26,30.17,30.07,10,6,2,18,6,,0.00,0,Snow,332
1949-1-18,33,28,23,30,23,16,100,81,64,30.41,30.23,30.06,15,14,10,8,2,,0.00,0,,87
1949-1-19,33,27,21,31,24,20,96,83,66,30.42,30.22,29.73,15,14,10,28,6,,0.00,0,,106
1949-1-20,36,32,28,35,29,22,100,84,57,29.71,29.50,29.36,15,9,1,34,20,,0.00,0,Snow,120
1949-1-21,30,26,23,23,14,8,78,58,45,30.19,29.99,29.75,15,15,15,13,6,,0.00,0,,92
1949-1-22,30,24,19,19,14,8,92,71,53,30.46,30.35,30.22,15,15,15,12,6,,0.00,0,,100
1949-1-23,30,24,19,24,20,15,85,77,61,30.47,30.43,30.32,15,13,6,5,2,,0.00,0,Snow,98
1949-1-24,39,32,28,38,28,23,100,79,65,30.28,30.00,29.75,10,7,1,30,17,,0.00,0,Snow,113
1949-1-25,36,34,33,33,32,29,100,94,78,29.87,29.64,29.47,7,5,3,23,9,,0.00,0,Fog-Rain-Snow,114
1949-1-26,35,34,33,35,33,32,100,98,89,30.36,30.11,29.91,10,6,1,7,4,,0.00,0,Fog-Rain-Snow,106
1949-1-27,39,34,30,36,30,25,100,83,65,30.42,30.37,30.25,15,11,2,33,10,,0.00,0,Rain-Snow,114
1949-1-28,42,40,36,38,34,30,93,83,70,30.30,30.27,30.23,10,6,4,26,16,,0.00,0,Rain,184
1949-1-29,37,35,32,36,33,31,100,95,82,30.57,30.39,30.30,10,8,0,7,3,,0.00,0,Fog-Rain-Snow,79
1949-1-30,35,32,30,33,31,27,100,93,88,30.66,30.59,30.46,15,11,1,6,3,,0.00,0,Rain-Snow,103
1949-1-31,37,34,30,33,31,26,100,91,72,30.54,30.49,30.41,15,11,0,8,2,,0.00,0,Fog-Rain-Snow,110

